,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
24916,25.11.2022 14:27,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24918,25.11.2022 14:27,SU72746,ДТК.Сервис.группа развития,Беспроводные наушники Xiaomi ,1400,0,1,Прокачай эффективность,закончился
24928,25.11.2022 14:25,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Беспроводные наушники Xiaomi Redmi Buds 3 ̶2̶7̶5̶0̶,2500,0,1,Прокачай эффективность,закончился
24929,25.11.2022 14:25,SU169156,ДБП.группа поддержки продаж,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24932,25.11.2022 14:25,SU78964,ДРП.отдел кадров,"Футболка ""Надо собраться""1̶3̶0̶0̶ ",600,0,1,В стиле КРОК,закончился
24933,25.11.2022 14:25,SU169156,ДБП.группа поддержки продаж,Лотерейный билет на Черный пуф КРОК,60,0,2,В стиле КРОК,закончился
24935,25.11.2022 14:25,SU90392,ДМ.группа маркетинговых исследований,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24937,25.11.2022 14:25,SU94086,"ДРПО.Практика ""Аппаратные решения""",Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24940,25.11.2022 14:24,SU94086,"ДРПО.Практика ""Аппаратные решения""","Футболка белая ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24943,25.11.2022 14:24,SU167484,ДТК.Сервис.Первая линия,"Футболка белая ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24945,25.11.2022 14:23,SU130689,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24946,25.11.2022 14:23,SU130689,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24947,25.11.2022 14:23,SU154901,ДИРС.группа разработки частных облаков,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24948,25.11.2022 14:23,SU169156,ДБП.группа поддержки продаж,Лотерейный билет на Кресло КРОК,100,0,2,Сервис,закончился
24949,25.11.2022 14:23,SU169156,ДБП.группа поддержки продаж,Лотерейный билет на Черный пуф КРОК,60,0,2,В стиле КРОК,закончился
24952,25.11.2022 14:22,SU99835,ДПМП.ОРК,Невидимое кресло,10,0,1,Сервис,закончился
24953,25.11.2022 14:22,SU190825,ДИРС.Информационная безопасность.группа технических менеджеров по информационной безопасности,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24956,25.11.2022 14:22,SU94086,"ДРПО.Практика ""Аппаратные решения""","Футболка ""Надо собраться""1̶3̶0̶0̶ ",600,0,1,В стиле КРОК,закончился
24957,25.11.2022 14:22,SU130689,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
24959,25.11.2022 14:21,SU601,ДПМП.группа управления проектами по телекоммуникациям,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24960,25.11.2022 14:21,SU166810,Служба качества,"Футболка черная ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24963,25.11.2022 14:20,SU130689,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24964,25.11.2022 14:20,SU94086,"ДРПО.Практика ""Аппаратные решения""",Беспроводные наушники Xiaomi ,1400,0,1,Прокачай эффективность,закончился
